,STATISTIC,STATISTIC Label,TLIST(M1),Month,C02431V02938,Meteorological Weather Station,UNIT,VALUE
0,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,1,Belmullet,Knots,62.0
1,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,2,Birr,Knots,58.0
2,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,3,Valentia Observatory,Knots,50.0
4,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,5,Claremorris,Knots,53.0
5,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,6,Clones,Knots,58.0
7,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,8,Dublin airport,Knots,55.0
9,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,10,Kilkenny,Knots,52.0
10,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,11,Malin head,Knots,86.0
11,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,12,Mullingar,Knots,55.0
12,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,13,Roches Point,Knots,67.0
13,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,14,Rosslare,Knots,53.0
14,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195801,1958M01,15,Shannon airport,Knots,53.0
15,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,1,Belmullet,Knots,49.0
16,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,2,Birr,Knots,53.0
17,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,3,Valentia Observatory,Knots,64.0
19,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,5,Claremorris,Knots,65.0
20,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,6,Clones,Knots,49.0
22,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,8,Dublin airport,Knots,48.0
24,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,10,Kilkenny,Knots,52.0
25,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,11,Malin head,Knots,63.0
26,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,12,Mullingar,Knots,49.0
27,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,13,Roches Point,Knots,59.0
28,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,14,Rosslare,Knots,59.0
29,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195802,1958M02,15,Shannon airport,Knots,57.0
30,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,1,Belmullet,Knots,53.0
31,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,2,Birr,Knots,47.0
32,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,3,Valentia Observatory,Knots,59.0
34,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,5,Claremorris,Knots,46.0
35,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,6,Clones,Knots,42.0
37,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,8,Dublin airport,Knots,40.0
39,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,10,Kilkenny,Knots,42.0
40,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,11,Malin head,Knots,50.0
41,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,12,Mullingar,Knots,42.0
42,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,13,Roches Point,Knots,52.0
43,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,14,Rosslare,Knots,47.0
44,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195803,1958M03,15,Shannon airport,Knots,49.0
45,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,1,Belmullet,Knots,52.0
46,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,2,Birr,Knots,42.0
47,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,3,Valentia Observatory,Knots,49.0
49,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,5,Claremorris,Knots,45.0
50,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,6,Clones,Knots,53.0
52,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,8,Dublin airport,Knots,43.0
54,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,10,Kilkenny,Knots,44.0
55,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,11,Malin head,Knots,46.0
56,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,12,Mullingar,Knots,48.0
57,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,13,Roches Point,Knots,52.0
58,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,14,Rosslare,Knots,44.0
59,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195804,1958M04,15,Shannon airport,Knots,52.0
60,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,1,Belmullet,Knots,55.0
61,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,2,Birr,Knots,41.0
62,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,3,Valentia Observatory,Knots,66.0
64,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,5,Claremorris,Knots,45.0
65,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,6,Clones,Knots,44.0
67,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,8,Dublin airport,Knots,39.0
69,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,10,Kilkenny,Knots,39.0
70,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,11,Malin head,Knots,58.0
71,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,12,Mullingar,Knots,44.0
72,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,13,Roches Point,Knots,70.0
73,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,14,Rosslare,Knots,48.0
74,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195805,1958M05,15,Shannon airport,Knots,52.0
75,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,1,Belmullet,Knots,44.0
77,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,3,Valentia Observatory,Knots,44.0
85,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,11,Malin head,Knots,37.0
87,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,13,Roches Point,Knots,38.0
88,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,14,Rosslare,Knots,51.0
89,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195806,1958M06,15,Shannon airport,Knots,34.0
90,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,1,Belmullet,Knots,41.0
92,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,3,Valentia Observatory,Knots,45.0
95,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,6,Clones,Knots,35.0
99,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,10,Kilkenny,Knots,36.0
100,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,11,Malin head,Knots,44.0
101,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,12,Mullingar,Knots,36.0
102,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,13,Roches Point,Knots,43.0
103,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195807,1958M07,14,Rosslare,Knots,38.0
105,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,1,Belmullet,Knots,45.0
106,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,2,Birr,Knots,40.0
107,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,3,Valentia Observatory,Knots,39.0
109,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,5,Claremorris,Knots,37.0
110,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,6,Clones,Knots,35.0
112,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,8,Dublin airport,Knots,43.0
114,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,10,Kilkenny,Knots,39.0
115,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,11,Malin head,Knots,42.0
116,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,12,Mullingar,Knots,41.0
117,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,13,Roches Point,Knots,42.0
118,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,14,Rosslare,Knots,45.0
119,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195808,1958M08,15,Shannon airport,Knots,41.0
120,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,1,Belmullet,Knots,52.0
121,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,2,Birr,Knots,48.0
122,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,3,Valentia Observatory,Knots,56.0
124,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,5,Claremorris,Knots,57.0
125,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,6,Clones,Knots,47.0
127,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,8,Dublin airport,Knots,48.0
129,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,10,Kilkenny,Knots,44.0
130,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,11,Malin head,Knots,59.0
131,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,12,Mullingar,Knots,48.0
132,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,13,Roches Point,Knots,46.0
133,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,14,Rosslare,Knots,47.0
134,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195809,1958M09,15,Shannon airport,Knots,51.0
135,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,1,Belmullet,Knots,48.0
136,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,2,Birr,Knots,40.0
137,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,3,Valentia Observatory,Knots,37.0
139,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,5,Claremorris,Knots,40.0
140,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,6,Clones,Knots,41.0
142,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,8,Dublin airport,Knots,37.0
144,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,10,Kilkenny,Knots,40.0
145,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,11,Malin head,Knots,58.0
146,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,12,Mullingar,Knots,50.0
147,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,13,Roches Point,Knots,42.0
148,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,14,Rosslare,Knots,43.0
149,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195810,1958M10,15,Shannon airport,Knots,50.0
150,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,1,Belmullet,Knots,45.0
151,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,2,Birr,Knots,35.0
152,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,3,Valentia Observatory,Knots,41.0
154,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,5,Claremorris,Knots,35.0
157,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,8,Dublin airport,Knots,34.0
159,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,10,Kilkenny,Knots,34.0
160,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,11,Malin head,Knots,46.0
161,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,12,Mullingar,Knots,41.0
162,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,13,Roches Point,Knots,39.0
163,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,14,Rosslare,Knots,47.0
164,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195811,1958M11,15,Shannon airport,Knots,34.0
165,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,1,Belmullet,Knots,57.0
166,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,2,Birr,Knots,47.0
167,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,3,Valentia Observatory,Knots,64.0
169,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,5,Claremorris,Knots,49.0
170,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,6,Clones,Knots,52.0
172,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,8,Dublin airport,Knots,49.0
174,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,10,Kilkenny,Knots,67.0
175,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,11,Malin head,Knots,72.0
176,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,12,Mullingar,Knots,50.0
177,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,13,Roches Point,Knots,71.0
178,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,14,Rosslare,Knots,59.0
179,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195812,1958M12,15,Shannon airport,Knots,57.0
180,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,1,Belmullet,Knots,67.0
181,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,2,Birr,Knots,51.0
182,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,3,Valentia Observatory,Knots,61.0
184,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,5,Claremorris,Knots,58.0
185,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,6,Clones,Knots,50.0
187,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,8,Dublin airport,Knots,48.0
189,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,10,Kilkenny,Knots,46.0
190,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,11,Malin head,Knots,68.0
191,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,12,Mullingar,Knots,60.0
192,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,13,Roches Point,Knots,54.0
193,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,14,Rosslare,Knots,56.0
194,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195901,1959M01,15,Shannon airport,Knots,60.0
195,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,1,Belmullet,Knots,64.0
196,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,2,Birr,Knots,40.0
197,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,3,Valentia Observatory,Knots,49.0
199,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,5,Claremorris,Knots,47.0
200,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,6,Clones,Knots,41.0
202,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,8,Dublin airport,Knots,44.0
204,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,10,Kilkenny,Knots,40.0
205,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,11,Malin head,Knots,55.0
206,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,12,Mullingar,Knots,41.0
207,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,13,Roches Point,Knots,42.0
208,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,14,Rosslare,Knots,41.0
209,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195902,1959M02,15,Shannon airport,Knots,46.0
210,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,1,Belmullet,Knots,49.0
211,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,2,Birr,Knots,46.0
212,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,3,Valentia Observatory,Knots,58.0
214,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,5,Claremorris,Knots,43.0
215,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,6,Clones,Knots,41.0
217,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,8,Dublin airport,Knots,40.0
219,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,10,Kilkenny,Knots,43.0
220,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,11,Malin head,Knots,54.0
221,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,12,Mullingar,Knots,42.0
222,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,13,Roches Point,Knots,56.0
223,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,14,Rosslare,Knots,51.0
224,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195903,1959M03,15,Shannon airport,Knots,50.0
225,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,1,Belmullet,Knots,58.0
226,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,2,Birr,Knots,53.0
227,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,3,Valentia Observatory,Knots,73.0
229,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,5,Claremorris,Knots,55.0
230,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,6,Clones,Knots,58.0
232,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,8,Dublin airport,Knots,51.0
234,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,10,Kilkenny,Knots,49.0
235,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,11,Malin head,Knots,61.0
236,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,12,Mullingar,Knots,52.0
237,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,13,Roches Point,Knots,63.0
238,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,14,Rosslare,Knots,49.0
239,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195904,1959M04,15,Shannon airport,Knots,53.0
240,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,1,Belmullet,Knots,42.0
242,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,3,Valentia Observatory,Knots,50.0
245,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,6,Clones,Knots,34.0
249,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,10,Kilkenny,Knots,34.0
250,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,11,Malin head,Knots,41.0
251,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,12,Mullingar,Knots,45.0
252,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,13,Roches Point,Knots,42.0
253,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,14,Rosslare,Knots,39.0
254,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195905,1959M05,15,Shannon airport,Knots,34.0
255,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,1,Belmullet,Knots,57.0
256,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,2,Birr,Knots,43.0
257,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,3,Valentia Observatory,Knots,45.0
259,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,5,Claremorris,Knots,48.0
260,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,6,Clones,Knots,40.0
262,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,8,Dublin airport,Knots,45.0
264,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,10,Kilkenny,Knots,44.0
265,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,11,Malin head,Knots,48.0
266,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,12,Mullingar,Knots,46.0
267,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,13,Roches Point,Knots,50.0
268,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,14,Rosslare,Knots,34.0
269,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195906,1959M06,15,Shannon airport,Knots,48.0
270,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,1,Belmullet,Knots,40.0
271,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,2,Birr,Knots,43.0
272,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,3,Valentia Observatory,Knots,39.0
274,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,5,Claremorris,Knots,37.0
275,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,6,Clones,Knots,40.0
277,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,8,Dublin airport,Knots,38.0
279,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,10,Kilkenny,Knots,36.0
280,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,11,Malin head,Knots,41.0
281,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,12,Mullingar,Knots,43.0
282,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,13,Roches Point,Knots,40.0
283,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,14,Rosslare,Knots,49.0
284,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195907,1959M07,15,Shannon airport,Knots,43.0
285,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,1,Belmullet,Knots,55.0
286,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,2,Birr,Knots,52.0
287,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,3,Valentia Observatory,Knots,70.0
289,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,5,Claremorris,Knots,53.0
290,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,6,Clones,Knots,49.0
292,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,8,Dublin airport,Knots,50.0
294,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,10,Kilkenny,Knots,47.0
295,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,11,Malin head,Knots,48.0
296,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,12,Mullingar,Knots,53.0
297,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,13,Roches Point,Knots,55.0
298,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,14,Rosslare,Knots,54.0
299,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195908,1959M08,15,Shannon airport,Knots,61.0
300,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,1,Belmullet,Knots,39.0
302,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,3,Valentia Observatory,Knots,39.0
304,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,5,Claremorris,Knots,35.0
309,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,10,Kilkenny,Knots,34.0
310,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,11,Malin head,Knots,42.0
312,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,13,Roches Point,Knots,38.0
313,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,14,Rosslare,Knots,36.0
314,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195909,1959M09,15,Shannon airport,Knots,36.0
315,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,1,Belmullet,Knots,70.0
316,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,2,Birr,Knots,54.0
317,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,3,Valentia Observatory,Knots,67.0
319,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,5,Claremorris,Knots,64.0
320,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,6,Clones,Knots,84.0
322,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,8,Dublin airport,Knots,58.0
324,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,10,Kilkenny,Knots,54.0
325,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,11,Malin head,Knots,81.0
326,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,12,Mullingar,Knots,65.0
327,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",195910,1959M10,13,Roches Point,Knots,64.0
